BUSINESSNAME,BUSINESSTYPECATEGORYDESC,BUSINESSTYPEDESCRIPTION,LOCATIONADDRESSLINE1,LOCATIONADDRESSLINE2,LOCATIONCITY,LOCATIONSTATE,LOCATIONZIP,LOCATIONCOUNTY,VOICEPHONE,WEBSITE,EMAILADDRESS,LOCATIONLAT,LOCATIONLONG,ACTIVESTATUSFLAG,CREDENTIALSTATUS,LICENSEDBEDTOTAL,CERTIFIEDBEDTOTAL,DATASOURCE
Polaris Pharmacy Services Of Ohio,Nursing Home Pharmacy,NH - Nursing Home,202 Washington St Nw,,Warren,OH,44483,Trumbull,(856) 434-8565,,Slubonski@Polarisrx.Com,,,True,Active,,,PharmacyBoard
Polaris Pharmacy Services Of Ohio,Nursing Home Pharmacy,NH - Nursing Home,303 N Mecca St,,Cortland,OH,44410,Trumbull,(856) 434-8565,,Slubonski@Polarisrx.Com,41.335973,-80.731544,True,Active,,,PharmacyBoard
"Rx Institutional Services, Llc",Nursing Home Pharmacy,NH - Nursing Home,871 Elmwood Dr,,Hubbard,OH,44425,Trumbull,(330) 318-3926,,Melissa.Ryan@Thehometownpharmacies.Com,41.167073,-80.555403,True,Active,,,PharmacyBoard
Senior Pharmacy Services,Nursing Home Pharmacy,NH - Nursing Home,1926 Ridge Ave,,Warren,OH,44484,Trumbull,(440) 942-8674,,Alee@Seniorpharmacyservices.Com,41.217000,-80.781800,True,Active,,,PharmacyBoard
"United Rx, Llc",Nursing Home Pharmacy,NH - Nursing Home,3090 Five Points-Hartford Rd,,Fowler,OH,44418,Trumbull,(708) 449-7600,,Ascarpiniti@Unitedrx.Net,41.292451,-80.588228,True,Active,,,PharmacyBoard
Mahoning Valley Hematology-Oncology Assoc. Dba Hope Ctr For Cancer Care,Oncology Clinic,ONC - Oncology Clinic,700 Howland Wilson Rd Se,,Warren,OH,44484,Trumbull,(330) 856-8600,,Kimberly.Olson@Usoncology.Org,41.259712,-80.741051,True,Active,,,PharmacyBoard
"Brightview, Llc",Out Patient Treatment-Buprenorphine,OTP - Opioid Treatment Program,1924 E Market St,,Warren,OH,44483,Trumbull,(513) 368-3865,,Tr.Knight@Brightviewhealth.Com,41.236419,-80.792593,True,Active,,,PharmacyBoard
Meridian Healthcare,Out Patient Treatment-Buprenorphine,OTP - Opioid Treatment Program,320 High Street,,Warren,OH,44481,Trumbull,(330) 270-5329,,Tiffani_Clayton@Meridianhealthcare.Net,41.237457,-80.814496,True,Active,,,PharmacyBoard
"Pinnacle Treatment Centers Oh-Xx, Llc",Out Patient Treatment-Buprenorphine,OTP - Opioid Treatment Program,336 Vienna Ave,,Niles,OH,44446,Trumbull,(740) 260-3707,,Licenserenewals@Pinnacletreatment.Com,41.186647,-80.756367,True,Active,,,PharmacyBoard
Action Physical Therapy And Rehabilitation Inc,Outpatient Physical Therapy/Speech Pathology Services,08 OPT/SP,609 West Liberty Street,,Hubbard,OH,44425,Trumbull,(330)534-8500,,,41.156244,-80.579721,True,ACTIVE,,,OHAL
Athena Therapy Holdings Co,Outpatient Physical Therapy/Speech Pathology Services,08 OPT/SP,260 Niles Cortland Rd Ne,,Warren,OH,44484,Trumbull,(330)609-5791,,,41.240776,-80.740371,True,ACTIVE,,,OHAL
Children's Rehabilitation Center,Outpatient Physical Therapy/Speech Pathology Services,08 OPT/SP,885 Howland Wilson Road Ne,,Warren,OH,44484,Trumbull,(330)856-2107,,,41.247069,-80.731055,True,ACTIVE,,,OHAL
Fabian Tax And Accounting,Outpatient Physical Therapy/Speech Pathology Services,08 OPT/SP,650 Youngstown-Warren Road,,Niles,OH,44446,Trumbull,(330)652-1415,,,41.193771,-80.726935,True,ACTIVE,,,OHAL
Nbj Outpatient Therapy Llc,Outpatient Physical Therapy/Speech Pathology Services,08 OPT/SP,4329 Mahoning Avenue Nw,,Warren,OH,44483,Trumbull,(330)847-7819,,,41.278702,-80.843182,True,ACTIVE,,,OHAL
"Novacare Rehabilitation Of Ohio, Inc",Outpatient Physical Therapy/Speech Pathology Services,08 OPT/SP,656 Youngstown Warren Road,,Niles,OH,44446,Trumbull,(330)505-1362,,,41.193849,-80.726976,True,ACTIVE,,,OHAL
Physical Therapy & Sports Rehab Inc,Outpatient Physical Therapy/Speech Pathology Services,08 OPT/SP,"8133 East Market Street, Suite 1",,Warren,OH,44484,Trumbull,(330)609-8600,,,41.238527,-80.744314,True,ACTIVE,,,OHAL
"Smr Banyan Tree, Inc",Outpatient Physical Therapy/Speech Pathology Services,08 OPT/SP,140 Highland Terrace Blvd Suite B,,Warren,OH,44484,Trumbull,(330)652-8733,,,41.216137,-80.739286,True,ACTIVE,,,OHAL
"Hyo Kim, M.D., Inc.",Pain Management Clinic,PMC - Pain Management Clinic,2022 North Rd Se,,Warren,OH,44484,Trumbull,(330) 883-3199,,Hkim3355@Gmail.Com,41.238318,-80.745998,True,Active,,,PharmacyBoard
Occ Health Concepts,Pain Management Clinic,PMC - Pain Management Clinic,3826 Main St,,Mineral Ridge,OH,44440,Trumbull,(216) 577-0224,,Smahna@Yahoo.Com,41.138910,-80.769056,True,Active,,,PharmacyBoard
St. Cyril Pain Clinic,Pain Management Clinic,PMC - Pain Management Clinic,1621 E. Market St.,Suite A,Warren,OH,44483,Trumbull,330-856-2881,,Office@Cyrilpainclinic.Com,41.236641,-80.796262,True,Active,,,PharmacyBoard
"Axess Family Services, Inc.",Pharmacy Services,CP - Clinic Pharmacy,4970 Belmont Ave Ste A,,Youngstown,OH,44505,Trumbull,(615) 589-2832,,Pharmacy@Axesspointe.Org,41.171458,-80.664894,True,Active,,,PharmacyBoard
Brine Pharmacy,Pharmacy Services,II - Independent Community Retail (1 Outlet),906 N. State Street,,Girard,OH,44420,Trumbull,(330) 318-3926,,Melissa.Ryan@Thehometownpharmacies.Com,41.162527,-80.704354,True,Active,,,PharmacyBoard
Continuing Healthcare At The Ridge,Pharmacy Services,ND - Nursing Home Drug Stock,3379 Main St,,Mineral Ridge,OH,44440,Trumbull,(330) 652-9901,,Acook@Continuinghc.Com,41.150817,-80.768618,True,Active,,,PharmacyBoard
Continuing Healthcare Of Niles,Pharmacy Services,ND - Nursing Home Drug Stock,2565 Niles Vienna Rd,,Niles,OH,44446,Trumbull,(330) 720-2608,,Ebannister@Continuinghc.Com,41.198613,-80.724984,True,Active,,,PharmacyBoard
Country Club Rehabilitation Campus At Newton Falls,Pharmacy Services,ND - Nursing Home Drug Stock,2200 Milton Blvd.,,Newton Falls,OH,44444,Trumbull,(330) 420-8753,,Tmaroni@Hollandmgmt.Com,41.175717,-80.964834,True,Active,,,PharmacyBoard
Cvs Pharmacy #16644,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),5555 Youngstown Warren Rd,,Niles,OH,44446,Trumbull,(401) 765-1500,,Statereply@Cvshealth.Com,41.211146,-80.752725,True,Active,,,PharmacyBoard
Cvs/Pharmacy #2486,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),1331 Youngstown-Warren Road,,Niles,OH,44446,Trumbull,(401) 765-1500,,Statereply@Cvshealth.Com,41.204364,-80.738652,True,Active,,,PharmacyBoard
Cvs/Pharmacy #3044,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),134 Youngstown-Hubbard Rd,,Hubbard,OH,44425,Trumbull,(401) 765-1500,,Statereply@Cvshealth.Com,41.156126,-80.584344,True,Active,,,PharmacyBoard
Cvs/Pharmacy #3304,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),3933 Parkman Road,N.W.,Warren,OH,44481,Trumbull,(401) 765-1500,,Statereply@Cvshealth.Com,41.259019,-80.867706,True,Active,,,PharmacyBoard
Cvs/Pharmacy #4606,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),620 East Market Street,,Warren,OH,44481,Trumbull,(401) 765-1500,,Statereply@Cvshealth.Com,41.236121,-80.809764,True,Active,,,PharmacyBoard
Elmwood Assisted Living,Pharmacy Services,ND - Nursing Home Drug Stock,871 Elmwood Drive,,Hubbard,OH,44425,Trumbull,330-843-6599,,Jmcilone@Inspirahealthgroup.Com,41.167073,-80.555403,True,Active,,,PharmacyBoard
Franklin Pharmacy & Health Care Inc,Pharmacy Services,II - Independent Community Retail (1 Outlet),1732 Youngstown Rd,,Warren,OH,44484,Trumbull,(330) 369-4567,,Franklinpharm@Aol.Com,41.227586,-80.796289,True,Active,,,PharmacyBoard
"Genoa Healthcare, Llc.",Pharmacy Services,CP - Clinic Pharmacy,820 Pine Ave Se Ste C,,Warren,OH,44483,Trumbull,(612) 476-6927,,Genpharmlic@Optum.Com,41.235976,-80.818219,True,Active,,,PharmacyBoard
Giant Eagle Pharmacy #1405,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),48 Vienna Avenue,,Niles,OH,44446,Trumbull,(440) 969-4972,,Gerxlicenses@Gianteagle.Com,41.183813,-80.759056,True,Active,,,PharmacyBoard
Giant Eagle Pharmacy #1419,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),2061 Elm Road,,Warren,OH,44483,Trumbull,(440) 969-4972,,Gerxlicenses@Gianteagle.Com,41.253749,-80.792429,True,Active,,,PharmacyBoard
Giant Eagle Pharmacy #1435,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),7229 Warren Sharon Rd,,Brookfield,OH,44403,Trumbull,(440) 969-4972,,Gerxlicenses@Gianteagle.Com,41.234638,-80.556927,True,Active,,,PharmacyBoard
Giant Eagle Pharmacy #4002,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),4700 Belmont Ave.,,Youngstown,OH,44505,Trumbull,(440) 969-4972,,Gerxlicenses@Gianteagle.Com,41.166752,-80.664968,True,Active,,,PharmacyBoard
Giant Eagle Pharmacy #4051,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),8202 E. Market Street,,Warren,OH,44484,Trumbull,(440) 969-4972,,Gerxlicenses@Gianteagle.Com,41.238215,-80.743312,True,Active,,,PharmacyBoard
Giant Eagle Pharmacy #4056,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),2700 Mahoning Ave N.W.,,Warren,OH,44483,Trumbull,(440) 969-4972,,Gerxlicenses@Gianteagle.Com,41.259026,-80.833033,True,Active,,,PharmacyBoard
Gustavus Legacy Operating Company Llc,Pharmacy Services,ND - Nursing Home Drug Stock,8785 Youngstown Kingsville Rd,,Farmdale,OH,44417,Trumbull,(330) 355-7000,,Cbrown@Thelegacyalc.Com,41.459585,-80.665716,True,Active,,,PharmacyBoard
Harbor Operator,Pharmacy Services,ND - Nursing Home Drug Stock,202 Washington St Nw,,Warren,OH,44483,Trumbull,(330) 399-8997,,Vithomas@Washingtonsquarehc.Com,41.241980,-80.820324,True,Active,,,PharmacyBoard
Institutional Prescription Service,Pharmacy Services,IP - Pharmacy Servicing Institutions,3709 Youngstown Road,S.E.,Warren,OH,44484,Trumbull,330-399-2771,,Ipsrxmail@Gmail.Com,41.218202,-80.775956,True,Active,,,PharmacyBoard
Main Discount Drug,Pharmacy Services,II - Independent Community Retail (1 Outlet),8507 Main St.,Po Box 303,Kinsman,OH,44428,Trumbull,(330) 876-1228,,Maindrug@Neo.Rr.Com,41.452531,-80.582117,True,Active,,,PharmacyBoard
Meijer Stores Limited Partnership,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),2100 Niles Cortland Rd Se,,Warren,OH,44484,Trumbull,(234) 544-0010,,Rxlicense@Meijer.Com,41.214709,-80.740592,True,Active,,,PharmacyBoard
"Newton Falls Pharmacy, Inc.",Pharmacy Services,II - Independent Community Retail (1 Outlet),37 Ridge Road,,Newton Falls,OH,44444,Trumbull,(330) 219-5792,,Dmyocumrph@Yahoo.Com,41.189660,-80.979795,True,Active,,,PharmacyBoard
Niles Way Senior Living,Pharmacy Services,ND - Nursing Home Drug Stock,730 Youngstown Warren Rd,,Niles,OH,44446,Trumbull,(330) 223-8200,,Lrobinson@Certushc.Com,41.195329,-80.727753,True,Active,,,PharmacyBoard
"Ohio North East Health Systems, Inc",Pharmacy Services,II - Independent Community Retail (1 Outlet),175 E Broad St,,Newton Falls,OH,44444,Trumbull,(330) 708-9875,,Wfitch@Onehealthohio.Org,41.186530,-80.970827,True,Active,,,PharmacyBoard
"Ohio North East Health Systems, Inc",Pharmacy Services,II - Independent Community Retail (1 Outlet),1977 Niles Rd Se,,Warren,OH,44484,Trumbull,(330) 708-9875,,Wfitch@Onehealthohio.Org,41.222080,-80.797084,True,Active,,,PharmacyBoard
Otterbein Cortland,Pharmacy Services,ND - Nursing Home Drug Stock,303 N Mecca St,,Cortland,OH,44410,Trumbull,(330) 638-2420,,Bkolenich@Ohioliving.Org,41.335973,-80.731544,True,Active,,,PharmacyBoard
Quality Compounding And Specialty Rx,Pharmacy Services,II - Independent Community Retail (1 Outlet),7160 Warren-Sharon Road,,Brookfield,OH,44403,Trumbull,(330) 318-3926,,Melissa.Ryan@Thehometownpharmacies.Com,41.233903,-80.559338,True,Active,,,PharmacyBoard
Sam's Pharmacy 10-6327,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),1040 Niles Cortland Road,S.E.,Warren,OH,44484,Trumbull,(479) 371-2807,,Complic@Wal-Mart.Com,41.226645,-80.740674,True,Active,,,PharmacyBoard
The Hometown Pharmacy,Pharmacy Services,IS - Small Chain Retail (2-11 Outlets),7160 Warren-Sharon Road,,Brookfield,OH,44403,Trumbull,(330) 318-3926,,Melissa.Ryan@Thehometownpharmacies.Com,41.233903,-80.559338,True,Active,,,PharmacyBoard
Troutman Drug Co.,Pharmacy Services,II - Independent Community Retail (1 Outlet),501 Robbins Ave.,,Niles,OH,44446,Trumbull,(330) 652-1435,,Snuka22@Yahoo.Com,41.182460,-80.753202,True,Active,,,PharmacyBoard
Valley Health Pharmacy- Warren,Pharmacy Services,IS - Small Chain Retail (2-11 Outlets),150 E Market St Ste 200,,Warren,OH,44481,Trumbull,(615) 589-2832,,Mawad@Axesspointe.Org,41.235969,-80.817066,True,Active,,,PharmacyBoard
Wal-Mart Pharmacy 10-2197,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),2016 Millenium Blvd.,,Cortland,OH,44410,Trumbull,479-371-0193,,Complic@Wal-Mart.Com,41.274706,-80.774158,True,Active,,,PharmacyBoard
Wal-Mart Pharmacy 10-3860,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),200 Goldie Rd,,Youngstown,OH,44505,Trumbull,(479) 371-2807,,Complic@Wal-Mart.Com,41.145806,-80.661811,True,Active,,,PharmacyBoard
Walgreens #05549,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),804 W Market St,,Warren,OH,44481,Trumbull,(847) 527-3993,,Taxlicenserenewals@Walgreens.Com,41.234151,-80.829432,True,Active,,,PharmacyBoard
Walgreens #06888,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),5027 Youngstown-Warren Rd,,Niles,OH,44446,Trumbull,(847) 527-3993,,Taxlicenserenewals@Walgreens.Com,41.212951,-80.762337,True,Active,,,PharmacyBoard
Walgreens #09077,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),3390 Elm Road N.E.,,Warren,OH,44483,Trumbull,(847) 527-3993,,Taxlicenserenewals@Walgreens.Com,41.265362,-80.782775,True,Active,,,PharmacyBoard
Walgreens #09669,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),15 S. Main Street,,Hubbard,OH,44425,Trumbull,(847) 527-3993,,Taxlicenserenewals@Walgreens.Com,41.156299,-80.568700,True,Active,,,PharmacyBoard
Walgreens #10569,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),2249 Youngstown Warren Road,,Niles,OH,44446,Trumbull,(847) 527-3993,,Taxlicenserenewals@Walgreens.Com,41.182540,-80.717844,True,Active,,,PharmacyBoard
Walgreens #11730,Pharmacy Services,IL - Large Chain Retail (12+ Outlets),600 S. Mecca Street,,Cortland,OH,44410,Trumbull,(847) 527-3993,,Taxlicenserenewals@Walgreens.Com,41.320086,-80.731323,True,Active,,,PharmacyBoard
Akron Childrens Hospital At Mahoning Valley,Point of Care,POC - Point of Care,667 Eastland Ave.,S.E.,Warren,OH,44484,Trumbull,(704) 493-4093,,Ciler@Akronchildrens.Org,41.230924,-80.778160,True,Active,,,PharmacyBoard
Advanced Dermatology And Skin Cancer Center,Practitioner Corporation,PC - Prescriber Practice,2223 Niles Cortland Rd Se,,Warren,OH,44484,Trumbull,(603) 609-8362,,Kpeterson@Optimadermatology.Com,41.241365,-80.740742,True,Active,,,PharmacyBoard
Advanced Foot And Ankle Centers Inc.,Practitioner Corporation,PC - Prescriber Practice,4441 Mahoning Ave Nw,,Warren,OH,44483,Trumbull,(330) 856-2778,,Janice@Advancedpodiatry.Com,41.280847,-80.844240,True,Active,,,PharmacyBoard
Advanced Urology,Practitioner Corporation,PC - Prescriber Practice,9375 E Market St Ste 2b,,Warren,OH,44484,Trumbull,(330) 985-4846,,Swhclia@Southwoodshealth.Com,41.237219,-80.767551,True,Active,,,PharmacyBoard
Akron Children's Hospital Pediatrics - Warren,Practitioner Corporation,PC - Prescriber Practice,5000 East Market Street,Suite 30,Warren,OH,44484,Trumbull,330-612-5371,,Tford-Keeney@Akronchildrens.Org,41.237761,-80.754232,True,Active,,,PharmacyBoard
Akron Children's Pediatrics At Warren G Harding High School,Practitioner Corporation,PC - Prescriber Practice,860 Elm Rd Ne Ste 1,,Warren,OH,44483,Trumbull,330-612-5371,,Tford-Keeney@Akronchildrens.Org,41.241078,-80.824653,True,Active,,,PharmacyBoard
Akron Childrens Hospital Pediatrics  - Liberty,Practitioner Corporation,PC - Prescriber Practice,3530 Belmont Ave,,Youngstown,OH,44505,Trumbull,330-612-5371,,Tford-Keeney@Akronchildrens.Org,41.159454,-80.665070,True,Active,,,PharmacyBoard
Aspen Dental,Practitioner Corporation,PC - Prescriber Practice,5700 Youngstown Warren Rd.,,Niles,OH,44446,Trumbull,(315) 454-6000,,Providerrelations@Aspendental.Com,41.209743,-80.749340,True,Active,,,PharmacyBoard
Associates Family Foot Care Llc,Practitioner Corporation,PC - Prescriber Practice,3622 Belmont Ave Ste 16,,Youngstown,OH,44505,Trumbull,(330) 759-8690,,Affc2020@Yahoo.Com,41.148144,-80.665455,True,Active,,,PharmacyBoard
"Avalon Dermatology, Llc",Practitioner Corporation,PC - Prescriber Practice,1 American Way Ne,,Warren,OH,44484,Trumbull,(330) 856-8837,,Rdulay@Thegrandresort.Com,41.237800,-80.714500,True,Active,,,PharmacyBoard
Avalon Med Spa Llc,Practitioner Corporation,PC - Prescriber Practice,1 American Way Ne,,Warren,OH,44484,Trumbull,(330) 402-3443,,Rmoosally@Thegrandresort.Com,41.237948,-80.714698,True,Active,,,PharmacyBoard
"Avamar Gastroenterology, Inc.",Practitioner Corporation,PC - Prescriber Practice,9225 East Market St.,Ste 100,Warren,OH,44484,Trumbull,(330) 372-7470,,Derrett@Avamargastro.Com,41.237280,-80.723498,True,Active,,,PharmacyBoard
Awaken Aesthetic,Practitioner Corporation,PC - Prescriber Practice,3050 Elm Road Ne Suit #2,,Warren,OH,44483,Trumbull,(330) 224-5082,,Awakenaesthetics06@Gmail.Com,41.262402,-80.783422,True,Active,,,PharmacyBoard
Braydich Dental,Practitioner Corporation,PC - Prescriber Practice,45 E Liberty St,,Hubbard,OH,44425,Trumbull,(330) 881-6197,,Drshane@Braydich.Com,41.156282,-80.568178,True,Active,,,PharmacyBoard
Bre's Beauty Bar,Practitioner Corporation,PC - Prescriber Practice,5000 E Market St Ste 2,,Warren,OH,44484,Trumbull,(330) 979-1510,,Bmelagonp@Outlook.Com,41.237753,-80.754312,True,Active,,,PharmacyBoard
"Brodell Medical, Inc.",Practitioner Corporation,PC - Prescriber Practice,2660 E. Market St.,,Warren,OH,44483,Trumbull,(330) 393-4000,,Julie.Guarnieri@Gmail.Com,41.236479,-80.786302,True,Active,,,PharmacyBoard
Bsmh Employer Services Llc,Practitioner Corporation,PC - Prescriber Practice,5000 E Market St Ste 18,,Warren,OH,44484,Trumbull,(330) 306-5030,,Slrazo@Mercy.Com,41.231396,-80.778167,True,Active,,,PharmacyBoard
Care Excellence Llc,Practitioner Corporation,PC - Prescriber Practice,3622 Belmont Ave Ste 20,,Youngstown,OH,44505,Trumbull,(234) 855-0061,,Carletta.Williams@Careexcellencellc.Com,41.148144,-80.665455,True,Active,,,PharmacyBoard
Center For Progressive Dentistry Joseph D. Bedich Dds,Practitioner Corporation,PC - Prescriber Practice,481 South High St.,,Cortland,OH,44410,Trumbull,(330) 637-7971,,Jbedichdds@Aol.Com,41.322079,-80.729349,True,Active,,,PharmacyBoard
Champion Primary Care,Practitioner Corporation,PC - Prescriber Practice,5901 Mahoning Ave Nw,,Warren,OH,44483,Trumbull,(724) 272-5745,,Jaluisia@Mercy.Com,41.313897,-80.851279,True,Active,,,PharmacyBoard
Church Hill Primary Care,Practitioner Corporation,PC - Prescriber Practice,4694 Belmont Avenue,,Youngstown,OH,44505,Trumbull,(330) 480-7655,,Jmccullough2@Mercy.Com,41.166656,-80.664970,True,Active,,,PharmacyBoard
Cleveland Clinic Kinsman Medical Outpatient Center,Practitioner Corporation,PC - Prescriber Practice,8511 Main St,,Kinsman,OH,44428,Trumbull,(330) 550-0110,,Pharmacylicenses@Ccf.Org,41.452625,-80.582042,True,Active,,,PharmacyBoard
Cleveland Clinic Warren Medical Outpatient Center,Practitioner Corporation,PC - Prescriber Practice,8700 E Market St Ste 4,,Warren,OH,44484,Trumbull,(330) 550-0111,,Pharmacylicenses@Ccf.Org,41.237878,-80.733515,True,Active,,,PharmacyBoard
Concierge Health Network,Practitioner Corporation,PC - Prescriber Practice,2835 Elm Rd Ne Suite 1,,Warren,OH,44483,Trumbull,(330) 921-8441,,Doctor@Ashtabuladoctor.Com,41.261098,-80.784148,True,Active,,,PharmacyBoard
"Cowfish Industries, Llc",Practitioner Corporation,PC - Prescriber Practice,2537 E Market St,,Warren,OH,44483,Trumbull,(330) 402-3443,,Rtmoosally@Moosallymedical.Com,41.236742,-80.787293,True,Active,,,PharmacyBoard
Crystal Clinic Orthopaedic Center - Warren,Practitioner Corporation,PC - Prescriber Practice,2614 E Market St,,Warren,OH,44483,Trumbull,(440) 813-7509,,Shawnabrunell@Crystalclinic.Com,41.236474,-80.786666,True,Active,,,PharmacyBoard
Fresenius Kidney Care Warren,Practitioner Corporation,PC - Prescriber Practice,4941 Enterprise Dr Nw,,Warren,OH,44481,Trumbull,(330) 898-0801,,Adam.Zappia@Freseniusmedicalcare.Com,41.259854,-80.874574,True,Active,,,PharmacyBoard
Howland Plastic And Reconstructive Surgery,Practitioner Corporation,PC - Prescriber Practice,1950 Niles-Cortland Road N.E. Suite #4,,Warren,OH,44484,Trumbull,(330) 856-8545,,Abaker4@Mercy.Com,41.265199,-80.740687,True,Active,,,PharmacyBoard
"Isam Ibrahim, D.D.S. & Associates (Eastwood Mall/Niles), Inc.",Practitioner Corporation,PC - Prescriber Practice,5555 Youngstown Warren Rd Unit 908,,Niles,OH,44446,Trumbull,(714) 571-2140,,Doctorenrollment@Westerndental.Com,41.211072,-80.752474,True,Active,,,PharmacyBoard
"James David Brodell, M.D., Inc.",Practitioner Corporation,PC - Prescriber Practice,2614 East Market Street,,Warren,OH,44483,Trumbull,(330) 934-8181,,Annbrodell@Windstream.Net,41.236474,-80.786660,True,Active,,,PharmacyBoard
"James P. D'apolito M.D. Pediatrics, Inc.",Practitioner Corporation,PC - Prescriber Practice,4316 Belmont Avenue,,Youngstown,OH,44505,Trumbull,(330) 759-9797,,Jpdapolito@Gmail.Com,41.159522,-80.665069,True,Active,,,PharmacyBoard
"Jason Rupeka, Do, Llc",Practitioner Corporation,PC - Prescriber Practice,2218 E Market St,,Warren,OH,44483,Trumbull,(330) 978-2145,,Drjasonrupeka@Gmail.Com,41.236452,-80.788981,True,Active,,,PharmacyBoard
"Lippy Group For Ear, Nose & Throat",Practitioner Corporation,PC - Prescriber Practice,3893 E. Market Street,,Warren,OH,44484,Trumbull,(330) 856-4000,,Darcir@Lippygroup.Com,41.237179,-80.768116,True,Active,,,PharmacyBoard
Mercy Health Brookfield Family Medicine,Practitioner Corporation,PC - Prescriber Practice,7264 Warren Sharon Rd Ste 103,,Brookfield,OH,44403,Trumbull,(330) 448-3060,,Jmccullough2@Mercy.Com,,,True,Active,,,PharmacyBoard
Mercy Health Cortland Primary Care,Practitioner Corporation,PC - Prescriber Practice,310 Windsor Dr,,Cortland,OH,44410,Trumbull,(330) 307-2459,,Jldann@Mercy.Com,41.311564,-80.730037,True,Active,,,PharmacyBoard
Mercy Health Howland Medical Center,Practitioner Corporation,PC - Prescriber Practice,1932 Niles Cortland Rd Ne,,Warren,OH,44484,Trumbull,(330) 306-5450,,Jfarmer@Mercy.Com,41.264137,-80.740688,True,Active,,,PharmacyBoard
Mercy Health Hubbard Primary Care,Practitioner Corporation,PC - Prescriber Practice,55 Hall Ave,,Hubbard,OH,44425,Trumbull,(330) 719-8526,,Jmccullough2@Mercy.Com,41.155007,-80.581054,True,Active,,,PharmacyBoard
Mercy Health Newton Falls Primary Care,Practitioner Corporation,PC - Prescriber Practice,340 Ridge Rd Ste 1,,Newton Falls,OH,44444,Trumbull,(330) 872-0330,,Tctaylor@Mercy.Com,41.193073,-80.978978,True,Active,,,PharmacyBoard
Mercy Health North Road Primary Care And Walk In,Practitioner Corporation,PC - Prescriber Practice,1552 North Rd Se Ste 202,,Warren,OH,44484,Trumbull,330-429-0202,,Tctaylor@Mercy.Com,41.216463,-80.763102,True,Active,,,PharmacyBoard
Mercy Health Physicians Wexford,Practitioner Corporation,PC - Prescriber Practice,1950 Niles Cortland Rd Ne Ste 10,,Warren,OH,44484,Trumbull,(330) 550-2365,,Kanders@Mercy.Com,41.265199,-80.740688,True,Active,,,PharmacyBoard
Mercy Health St. George Primary Care,Practitioner Corporation,PC - Prescriber Practice,1254 Youngstown Warren Rd Ste 3a,,Niles,OH,44446,Trumbull,330-429-0202,,Tctaylor@Mercy.Com,41.203294,-80.737647,True,Active,,,PharmacyBoard
Mercy Health Tctc Walk In Care,Practitioner Corporation,PC - Prescriber Practice,528 Educational Hwy Nw,,Warren,OH,44483,Trumbull,330-559-4743,,Jfarmer@Mercy.Com,41.281197,-80.826081,True,Active,,,PharmacyBoard
Mercy Health Warren Orthopaedics,Practitioner Corporation,PC - Prescriber Practice,1552 North Road Rd Se #101,,Warren,OH,44484,Trumbull,(330) 856-1070,,Jfairchild1@Mercy.Com,41.232700,-80.756200,True,Active,,,PharmacyBoard
Mercy Health Warren Primary Care,Practitioner Corporation,PC - Prescriber Practice,860 Elm Rd Ne 2nd Fl,,Warren,OH,44483,Trumbull,(330) 841-1001,,Jfarmer@Mercy.Com,41.245153,-80.834558,True,Active,,,PharmacyBoard
Mercy Health Warren Pulmonology,Practitioner Corporation,PC - Prescriber Practice,1421 E Market St,,Warren,OH,44483,Trumbull,(724) 813-2099,,Nyuhasz@Mercy.Com,41.236599,-80.798738,True,Active,,,PharmacyBoard
Mercy Health Warren Women's Center,Practitioner Corporation,PC - Prescriber Practice,627 Eastland Ave Se Ste 302,,Warren,OH,44484,Trumbull,(330) 306-5004,,Amber_Bugno@Mercy.Com,41.231396,-80.778167,True,Active,,,PharmacyBoard
Mercy Health Women's Wellness Center,Practitioner Corporation,PC - Prescriber Practice,1296 Tod Ave Nw,,Warren,OH,44485,Trumbull,(330) 423-0681,,Amber_Bugno@Mercy.Com,41.245153,-80.834558,True,Active,,,PharmacyBoard
Mgh Healthcare Llc,Practitioner Corporation,PC - Prescriber Practice,321 Niles Cortland Rd Ne Ste B-C,,Warren,OH,44484,Trumbull,(330) 355-3234,,Admin@Mghhealth.Com,41.241365,-80.740742,True,Active,,,PharmacyBoard
